loan_id,amount,term,subgrade,installments,purpose,loan_type,loan_state
1060644,24250,60,G4,519.76,debt_consolidation,INDIVIDUAL,Fully Paid
1066766,7200,36,A4,225.29,debt_consolidation,INDIVIDUAL,Charged Off
1066613,26000,60,D2,642.96,home_improvement,INDIVIDUAL,Charged Off
1065648,7000,60,B3,154.69,credit_card,INDIVIDUAL,Charged Off
1066768,4000,36,A3,124.45,major_purchase,INDIVIDUAL,Fully Paid
1066617,1500,36,D3,53.69,debt_consolidation,INDIVIDUAL,Fully Paid
1062015,19600,36,B4,654.94,credit_card,INDIVIDUAL,Fully Paid
1066598,2500,36,B3,82.69,debt_consolidation,INDIVIDUAL,Fully Paid
1066503,10000,36,B5,335.45,credit_card,INDIVIDUAL,Charged Off
1066530,10000,36,A2,307.04,credit_card,INDIVIDUAL,Fully Paid
1066520,4225,36,B4,141.18,other,INDIVIDUAL,Fully Paid
1065929,3500,36,A4,109.52,vacation,INDIVIDUAL,Fully Paid
1066582,12000,36,A2,368.45,debt_consolidation,INDIVIDUAL,Fully Paid
1066348,16500,36,A5,523.93,debt_consolidation,INDIVIDUAL,Fully Paid
1061430,22000,60,F3,603.5,debt_consolidation,INDIVIDUAL,Fully Paid
1061519,12000,36,C3,413.94,credit_card,INDIVIDUAL,Fully Paid
1066344,15600,60,B5,352.48,vacation,INDIVIDUAL,Charged Off
1066480,10800,36,B4,360.89,credit_card,INDIVIDUAL,Fully Paid
1066471,14000,36,B4,467.82,credit_card,INDIVIDUAL,Fully Paid
1064063,18825,60,D4,473.75,debt_consolidation,INDIVIDUAL,Current
1066318,6000,36,C1,203.59,debt_consolidation,INDIVIDUAL,Fully Paid
1066453,12000,36,B1,386.7,debt_consolidation,INDIVIDUAL,Fully Paid
1063090,10000,36,B4,334.16,debt_consolidation,INDIVIDUAL,Fully Paid
1061406,8000,36,A4,250.33,vacation,INDIVIDUAL,Fully Paid
1066278,14125,36,B1,455.18,debt_consolidation,INDIVIDUAL,Fully Paid
1066281,14000,36,B5,469.63,debt_consolidation,INDIVIDUAL,Fully Paid
1056150,13200,60,D3,224.36,small_business,INDIVIDUAL,Fully Paid
1066434,4000,36,E2,146.69,vacation,INDIVIDUAL,Fully Paid
1048526,4000,36,B5,134.18,debt_consolidation,INDIVIDUAL,Charged Off
1028566,10500,36,A1,319.58,debt_consolidation,INDIVIDUAL,Fully Paid
1066424,5500,36,A4,172.1,car,INDIVIDUAL,Fully Paid
1066212,7350,36,B3,243.11,debt_consolidation,INDIVIDUAL,Fully Paid
1066232,10000,36,B4,334.16,credit_card,INDIVIDUAL,Charged Off
1056219,12000,36,A3,373.33,debt_consolidation,INDIVIDUAL,Fully Paid
1066199,5000,60,B3,110.5,home_improvement,INDIVIDUAL,Fully Paid
1060851,8000,60,B3,176.79,other,INDIVIDUAL,Fully Paid
972383,4500,36,A5,142.89,other,INDIVIDUAL,Fully Paid
1066191,18000,36,B4,601.48,credit_card,INDIVIDUAL,Fully Paid
1066173,12300,60,C1,282.96,debt_consolidation,INDIVIDUAL,Current
1066379,12000,36,C1,407.17,debt_consolidation,INDIVIDUAL,Fully Paid
1066364,10000,36,C1,339.31,credit_card,INDIVIDUAL,Fully Paid
1066140,6000,36,A4,187.75,other,INDIVIDUAL,Fully Paid
1066171,12000,36,B5,402.54,debt_consolidation,INDIVIDUAL,Fully Paid
1066162,12000,36,A5,381.04,other,INDIVIDUAL,Charged Off
1040154,7000,36,B3,231.54,debt_consolidation,INDIVIDUAL,Fully Paid
1066155,35000,60,E1,690.56,debt_consolidation,INDIVIDUAL,Fully Paid
1065382,1400,36,A4,43.81,other,INDIVIDUAL,Fully Paid
1063447,16000,60,C1,368.08,small_business,INDIVIDUAL,Charged Off
1065932,3200,36,B1,103.12,debt_consolidation,INDIVIDUAL,Fully Paid
1065936,8000,36,A4,250.33,medical,INDIVIDUAL,Fully Paid
1066112,11875,60,B5,268.32,debt_consolidation,INDIVIDUAL,Charged Off
1066084,5000,36,A1,152.18,home_improvement,INDIVIDUAL,Fully Paid
1066081,1800,36,A2,55.27,small_business,INDIVIDUAL,Fully Paid
1065896,35000,36,A5,1111.37,debt_consolidation,INDIVIDUAL,Fully Paid
1066065,18000,36,A5,571.56,credit_card,INDIVIDUAL,Fully Paid
1066071,14000,36,A4,438.07,debt_consolidation,INDIVIDUAL,Charged Off
1062094,5000,36,B4,167.08,debt_consolidation,INDIVIDUAL,Fully Paid
1061154,8000,36,C5,281.1,credit_card,INDIVIDUAL,Fully Paid
1066061,10000,36,A1,304.36,debt_consolidation,INDIVIDUAL,Fully Paid
1065863,10000,36,A3,311.11,debt_consolidation,INDIVIDUAL,Fully Paid
1065862,12000,36,B4,400.99,debt_consolidation,INDIVIDUAL,Fully Paid
1065854,23200,36,A4,725.94,debt_consolidation,INDIVIDUAL,Fully Paid
1065145,18000,60,C4,430.78,credit_card,INDIVIDUAL,Current
1062260,4800,36,C4,167.03,debt_consolidation,INDIVIDUAL,Fully Paid
1065842,7300,36,B3,241.46,debt_consolidation,INDIVIDUAL,Fully Paid
1066018,10400,36,B1,335.14,debt_consolidation,INDIVIDUAL,Fully Paid
1049352,6600,36,B1,212.69,house,INDIVIDUAL,Fully Paid
1066016,12000,36,A5,381.04,debt_consolidation,INDIVIDUAL,Fully Paid
1065997,13250,36,D3,474.19,debt_consolidation,INDIVIDUAL,Fully Paid
1061891,12000,36,B3,396.92,debt_consolidation,INDIVIDUAL,Fully Paid
1065752,25000,36,B1,805.63,debt_consolidation,INDIVIDUAL,Fully Paid
1063126,6000,36,B2,195.44,other,INDIVIDUAL,Fully Paid
1065738,12000,36,A3,373.33,credit_card,INDIVIDUAL,Fully Paid
1061467,14400,36,B3,476.3,credit_card,INDIVIDUAL,Fully Paid
1065721,10000,36,B4,334.16,credit_card,INDIVIDUAL,Fully Paid
1065717,8000,36,B3,264.61,credit_card,INDIVIDUAL,Fully Paid
1065026,8000,36,D1,282.41,credit_card,INDIVIDUAL,Charged Off
1057001,30000,60,B4,673.72,small_business,INDIVIDUAL,Charged Off
1065513,18000,60,D2,445.13,home_improvement,INDIVIDUAL,Charged Off
1065698,13250,36,B3,438.26,credit_card,INDIVIDUAL,Fully Paid
1065681,14000,36,C2,480.33,debt_consolidation,INDIVIDUAL,Fully Paid
1061788,20000,60,E5,533.23,debt_consolidation,INDIVIDUAL,Charged Off
1065484,10000,36,D1,353.01,credit_card,INDIVIDUAL,Fully Paid
1061681,35000,60,E5,619.88,debt_consolidation,INDIVIDUAL,Fully Paid
1065661,4000,36,A1,121.75,debt_consolidation,INDIVIDUAL,Fully Paid
1065663,13000,36,B1,418.93,debt_consolidation,INDIVIDUAL,Fully Paid
1065480,28000,36,B5,939.26,credit_card,INDIVIDUAL,Fully Paid
1065658,10000,36,C1,339.31,debt_consolidation,INDIVIDUAL,Fully Paid
1065447,20000,36,A4,625.81,debt_consolidation,INDIVIDUAL,Fully Paid
1065470,18000,36,B1,580.05,debt_consolidation,INDIVIDUAL,Fully Paid
1065467,9000,60,E4,238.0,credit_card,INDIVIDUAL,Charged Off
1065649,25000,60,E1,643.58,debt_consolidation,INDIVIDUAL,Charged Off
1065430,10000,36,B3,330.76,other,INDIVIDUAL,Fully Paid
1059462,4200,36,A1,127.83,credit_card,INDIVIDUAL,Fully Paid
1064102,20000,60,C4,478.64,debt_consolidation,INDIVIDUAL,Charged Off
1062399,18000,60,D3,449.97,debt_consolidation,INDIVIDUAL,Charged Off
1065572,24000,36,D1,847.21,debt_consolidation,INDIVIDUAL,Fully Paid
1065567,4475,36,C4,155.72,credit_card,INDIVIDUAL,Fully Paid
1065342,20000,60,C3,472.14,credit_card,INDIVIDUAL,Current
1065355,12000,36,B4,400.99,credit_card,INDIVIDUAL,Fully Paid
1058717,18000,60,D4,452.98,debt_consolidation,INDIVIDUAL,Fully Paid
1065348,5000,36,B4,167.08,debt_consolidation,INDIVIDUAL,Charged Off
890389,3000,36,A1,91.31,other,INDIVIDUAL,Fully Paid
1065142,25000,60,E2,648.93,debt_consolidation,INDIVIDUAL,Current
1065320,18000,60,E2,467.23,credit_card,INDIVIDUAL,Current
1065304,12000,36,B1,386.7,debt_consolidation,INDIVIDUAL,Charged Off
1065180,20000,36,C4,695.96,other,INDIVIDUAL,Fully Paid
1065298,10000,36,C1,339.31,debt_consolidation,INDIVIDUAL,Fully Paid
1064904,15000,36,B4,501.23,debt_consolidation,INDIVIDUAL,Fully Paid
1064696,12000,36,A4,375.49,debt_consolidation,INDIVIDUAL,Fully Paid
977277,20000,60,B2,290.64,debt_consolidation,INDIVIDUAL,Current
1065260,6300,36,B3,208.38,credit_card,INDIVIDUAL,Fully Paid
1059734,20000,60,D2,494.59,credit_card,INDIVIDUAL,Current
1065110,35000,60,D3,578.71,debt_consolidation,INDIVIDUAL,Fully Paid
1047987,8250,60,C5,200.45,home_improvement,INDIVIDUAL,Fully Paid
1065104,20000,60,B5,451.9,home_improvement,INDIVIDUAL,Current
1065103,10000,36,B3,330.76,credit_card,INDIVIDUAL,Charged Off
1065254,24000,36,A5,762.08,car,INDIVIDUAL,Charged Off
1064873,14400,36,B5,483.05,debt_consolidation,INDIVIDUAL,Fully Paid
1065244,6000,36,C3,206.97,credit_card,INDIVIDUAL,Fully Paid
1064969,22000,36,C5,773.03,debt_consolidation,INDIVIDUAL,Fully Paid
1059620,12000,36,B3,396.92,debt_consolidation,INDIVIDUAL,Charged Off
1032978,16000,36,D2,568.62,debt_consolidation,INDIVIDUAL,Fully Paid
1065234,10000,36,B2,325.74,debt_consolidation,INDIVIDUAL,Fully Paid
1064958,16000,60,E2,301.76,home_improvement,INDIVIDUAL,Fully Paid
1065196,10000,36,B5,335.45,debt_consolidation,INDIVIDUAL,Charged Off
1065199,3500,36,C1,118.76,debt_consolidation,INDIVIDUAL,Fully Paid
1065195,9600,36,B1,309.36,debt_consolidation,INDIVIDUAL,Fully Paid
1065020,9875,36,A4,309.0,debt_consolidation,INDIVIDUAL,Fully Paid
1065016,21500,60,D4,427.19,debt_consolidation,INDIVIDUAL,Fully Paid
1064924,4800,36,A4,150.2,debt_consolidation,INDIVIDUAL,Fully Paid
1064940,7800,36,A1,237.4,major_purchase,INDIVIDUAL,Fully Paid
1064932,20000,36,C2,686.18,credit_card,INDIVIDUAL,Fully Paid
1062248,9750,36,A3,303.34,debt_consolidation,INDIVIDUAL,Charged Off
1064985,18000,60,C5,365.67,credit_card,INDIVIDUAL,Fully Paid
